FID,lon,lat
708,169.2305136,-77.45123578
709,169.2306804,-77.45126203
710,169.2308385,-77.45129077
711,169.2309966,-77.45131951
712,169.2311547,-77.45134824
713,169.2313128,-77.45137698
714,169.231471,-77.45140572
715,169.2316291,-77.45143446
716,169.2317872,-77.4514632
717,169.2319453,-77.45149193
718,169.2320989,-77.45152177
719,169.232249,-77.45155248
720,169.232399,-77.45158319
721,169.2325491,-77.4516139
722,169.2326992,-77.45164461
723,169.2328492,-77.45167532
724,169.2329993,-77.45170603
725,169.2331493,-77.45173674
726,169.2332994,-77.45176745
727,169.2334482,-77.45179843
728,169.2335879,-77.45183137
729,169.2337276,-77.45186431
730,169.2338673,-77.45189725
731,169.234007,-77.45193019
732,169.2341467,-77.45196313
733,169.2342864,-77.45199607
734,169.2344261,-77.45202901
735,169.2345658,-77.45206195
736,169.2347055,-77.45209488
737,169.2348452,-77.45212782
738,169.2349849,-77.45216076
739,169.2351246,-77.4521937
740,169.235276,-77.45222398
741,169.2354337,-77.45225283
742,169.2355913,-77.45228169
743,169.235749,-77.45231055
744,169.2359067,-77.4523394
745,169.2360643,-77.45236826
746,169.236222,-77.45239711
747,169.2363797,-77.45242597
748,169.2365136,-77.45245995
749,169.2366453,-77.45249441
750,169.236777,-77.45252887
751,169.2369087,-77.45256333
752,169.2370404,-77.45259779
753,169.2371721,-77.45263225
754,169.2373038,-77.45266671
755,169.2374356,-77.45270117
756,169.2375673,-77.45273563
757,169.237699,-77.45277009
758,169.2378307,-77.45280455
759,169.2379624,-77.45283901
760,169.2380941,-77.45287347
761,169.2382258,-77.45290793
762,169.2383549,-77.45294284
763,169.2384808,-77.45297831
764,169.2386068,-77.45301378
765,169.2387327,-77.45304924
766,169.2388611,-77.45308428
767,169.2389951,-77.45311831
768,169.2391292,-77.45315233
769,169.2392633,-77.45318636
770,169.2393974,-77.45322039
771,169.2395314,-77.45325442
772,169.2396655,-77.45328844
773,169.2397996,-77.45332247
774,169.2399337,-77.4533565
775,169.2400677,-77.45339053
776,169.2402018,-77.45342455
777,169.2403359,-77.45345858
778,169.24047,-77.45349261
779,169.240604,-77.45352664
780,169.2407381,-77.45356066
781,169.2408722,-77.45359469
782,169.2410063,-77.45362872
783,169.2411404,-77.45366275
784,169.2412744,-77.45369677
785,169.2414085,-77.4537308
786,169.2415426,-77.45376483
787,169.2416767,-77.45379885
788,169.2418108,-77.45383288
789,169.2419449,-77.45386691
790,169.242079,-77.45390093
791,169.242213,-77.45393496
792,169.2423471,-77.45396899
793,169.2424812,-77.45400301
794,169.2426153,-77.45403704
795,169.2427494,-77.45407106
796,169.2428835,-77.45410509
797,169.2430176,-77.45413912
798,169.2431517,-77.45417314
799,169.2432858,-77.45420717
800,169.2434199,-77.45424119
801,169.243554,-77.45427522
802,169.243688,-77.45430925
803,169.2438221,-77.45434327
804,169.2439562,-77.4543773
805,169.2440903,-77.45441132
806,169.2442244,-77.45444535
807,169.2443585,-77.45447937
808,169.2444926,-77.4545134
809,169.2446267,-77.45454742
810,169.2447608,-77.45458145
811,169.2448949,-77.45461547
812,169.245029,-77.4546495
813,169.245166,-77.45468299
814,169.2453036,-77.45471634
815,169.2454412,-77.45474969
816,169.2455789,-77.45478304
817,169.2457165,-77.4548164
818,169.2458541,-77.45484975
819,169.2459918,-77.4548831
820,169.2461295,-77.45491644
821,169.246275,-77.45494817
822,169.2464206,-77.45497989
823,169.2465662,-77.45501161
824,169.2467117,-77.45504334
825,169.2468573,-77.45507506
826,169.2470029,-77.45510678
827,169.2471485,-77.4551385
828,169.2472917,-77.45517073
829,169.2474337,-77.45520321
830,169.2475757,-77.45523568
831,169.2477177,-77.45526816
832,169.2478597,-77.45530063
833,169.2480017,-77.45533311
834,169.2481438,-77.45536558
835,169.2482858,-77.45539805
836,169.2484278,-77.45543053
837,169.2485698,-77.455463
838,169.2487118,-77.45549548
839,169.2488539,-77.45552795
840,169.2489939,-77.45556081
841,169.249128,-77.45559485
842,169.249262,-77.45562889
843,169.249396,-77.45566293
844,169.24953,-77.45569697
845,169.2496641,-77.45573101
846,169.2497981,-77.45576505
847,169.2499321,-77.45579909
848,169.2500662,-77.45583313
849,169.2502002,-77.45586717
850,169.2503342,-77.45590122
851,169.2504683,-77.45593526
852,169.2506023,-77.4559693
853,169.2507363,-77.45600334
854,169.2508704,-77.45603738
855,169.2510044,-77.45607142
856,169.2511385,-77.45610546
857,169.2512725,-77.4561395
858,169.2514065,-77.45617353
859,169.2515406,-77.45620757
