FID,lon,lat
249,169.279439133,-77.4629573158
250,169.279359818,-77.4629159622
251,169.279280504,-77.4628746086
252,169.27920119,-77.462833255
253,169.279121877,-77.4627919014
254,169.279042565,-77.4627505477
255,169.278963253,-77.462709194
256,169.278883941,-77.4626678403
257,169.27880463,-77.4626264866
258,169.278722417,-77.4625854798
259,169.278603924,-77.46254881
260,169.278485431,-77.4625121401
261,169.27836694,-77.4624754701
262,169.278248448,-77.4624388002
263,169.278129958,-77.4624021301
264,169.278010917,-77.4623655483
265,169.277884547,-77.4623301407
266,169.277758177,-77.462294733
267,169.277631808,-77.4622593252
268,169.27750544,-77.4622239174
269,169.277379072,-77.4621885095
270,169.277252705,-77.4621531016
271,169.277141392,-77.4621163372
272,169.277115189,-77.4620719036
273,169.277088987,-77.4620274699
274,169.277062784,-77.4619830362
275,169.277036582,-77.4619386025
276,169.27701038,-77.4618941688
277,169.276984178,-77.4618497352
278,169.276957977,-77.4618053015
279,169.276931775,-77.4617608678
280,169.276918224,-77.461716437
281,169.276944855,-77.4616720154
282,169.276971487,-77.4616275937
283,169.276998118,-77.4615831721
284,169.277024749,-77.4615387505
285,169.27705138,-77.4614943289
286,169.277078011,-77.4614499072
287,169.277104641,-77.4614054856
288,169.277131272,-77.461361064
289,169.277157902,-77.4613166423
290,169.277184873,-77.4612722413
291,169.277267607,-77.4612312058
292,169.27735034,-77.4611901704
293,169.277433073,-77.4611491349
294,169.277515806,-77.4611080994
295,169.277598538,-77.4610670639
296,169.277681269,-77.4610260283
297,169.277764,-77.4609849928
298,169.27784673,-77.4609439572
299,169.277929459,-77.4609029215
300,169.278012189,-77.4608618859
301,169.278094917,-77.4608208502
302,169.278162198,-77.4607787136
303,169.278207512,-77.4607350114
304,169.278252825,-77.4606913092
305,169.278298137,-77.460647607
306,169.27834345,-77.4606039048
307,169.278388762,-77.4605602026
308,169.278434074,-77.4605165004
309,169.278479386,-77.4604727981
310,169.278533555,-77.4604298123
311,169.278630896,-77.4603903181
312,169.278728237,-77.460350824
313,169.278825578,-77.4603113297
314,169.278922917,-77.4602718355
315,169.279020256,-77.4602323412
316,169.279166636,-77.460206238
317,169.27936572,-77.4601945267
318,169.279564805,-77.4601828152
319,169.279763889,-77.4601711036
320,169.279962972,-77.4601593919
321,169.280162055,-77.46014768
